Designator,Footprint,Quantity,Value,LCSC Part #
R2,R_0402_1005Metric,1,100k,
R6,R_0402_1005Metric,1,10k,
C13,C_0402_1005Metric,1,100n,
R5,R_0402_1005Metric,1,5k1,
R8,R_0402_1005Metric,1,22R,
C4,C_0402_1005Metric,1,12p,
CON4,HDR1X3,1,HDR1X3,
SW1,SW_SPST_FSMSM,1,BootButton,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
R7,R_0402_1005Metric,1,22R,
C14,C_0402_1005Metric,1,100n,
R3,R_0402_1005Metric,1,10K,
U2,N64-CONN,1,N64-Cartridge,
CON1,HDR1X3,1,HDR1X3,
C6,C_0402_1005Metric,1,100n,
C10,C_0402_1005Metric,1,100n,
C11,C_0402_1005Metric,1,100n,
C8,C_0402_1005Metric,1,1u,
C9,C_0402_1005Metric,1,1u,
C2,C_0402_1005Metric,1,100n,
C15,C_0402_1005Metric,1,100n,
C12,C_0402_1005Metric,1,100n,
R4,R_0402_1005Metric,1,5k1,
C3,C_0603_1608Metric,1,10u,
C5,C_0402_1005Metric,1,12p,
U4,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12MHz 10ppm,C521567
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
R1,R_0402_1005Metric,1,1K,
J2,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
CON3,HDR1X3,1,HDR1X3,
SW2,SW_SPST_FSMSM,1,ResetButton,
CON2,HDR1X3,1,HDR1X3,
C7,C_0402_1005Metric,1,100n,
C1,C_0603_1608Metric,1,10u,
