"Footprint pattern","Correction"
"^(.*?_|V)?QFN-(16|20|24|28|40)(-|_|$)","270"
"^BatteryHolder_Keystone_1060_1x2032","-180"
"^Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering","90"
"^CP_EIA-","180"
"^CP_Elec_10x10","180"
"^CP_Elec_6.3x7.7","180"
"^CP_Elec_8x10","180"
"^CP_Elec_8x10.5","180"
"^CP_Elec_8x5.4","180"
"^CP_Elec_8x6.7","180"
"^DFN-","270"
"^Diodes_PowerDI3333-8","270"
"^ESP32-W","270"
"^HTSSOP-","270"
"^HTSSOP-28-1EP_4.4x9.7mm*","270"
"^JST_GH_SM","180"
"^JST_PH_S","180"
"^LED_WS2812B","180"
"^LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","90"
"^LQFP-","270"
"^Molex_PicoBlade_53261","180"
"^PUIAudio_SMT_0825_S_4_R*","270"
"^PinSocket_2x15_P2.54mm_Horizontal","270"
"^PowerPAK_SO-8_Single","270"
"^QFN-56_EP_7x7_Pitch0.4mm","0"
"^RP2040-QFN-56","0"
"^R_Array_Concave_","90"
"^R_Array_Convex_","90"
"^Relay_DPDT_Omron_G6K-2F-Y","270"
"^SO-14","-90"
"^SOIC-","270"
"^SOIC127P798X216-8N","-90"
"^SOP-(?!18_)","270"
"^SOP-18_","0"
"^SOP-4_","0"
"^SOT-223","180"
"^SOT-23","180"
"^SOT-353","180"
"^SOT-363","180"
"^SOT-666","180"
"^SOT-89","180"
"^SSOP-","270"
"^SW_DIP_SPSTx01_Slide_Copal_CHS-01B_W7.62mm_P1.27mm","-180"
"^SW_SPST_B3","90"
"^TDSON-8-1","270"
"^TO-277","90"
"^TQFP-","270"
"^TSOP-6","270"
"^TSOT-23","180"
"^TSSOP-","270"
"^TXU0104PWR","90"
"^Transformer_Ethernet_Pulse_HX0068ANL","270"
"^UDFN-10","270"
"^USB_C_Receptacle_HRO_TYPE-C-31-M-12*","180"
"^USB_C_Receptacle_XKB_U262-16XN-4BVC11","0"
"^USON-10","270"
"^VSON-8_","270"
"^VSSOP-10_","270"
"^VSSOP-8_","180"
"^VSSOP-8_3.0x3.0mm_P0.65mm","270"
"^microSD_HC_Molex_104031-0811","180"
